r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
descent | went,"THE Sun far sunk in his Descent,",oat77-l02160,"When Laura to the Garden went,",oat77-l02170,/ent/ | /ent/,full,<b>a</b>b<b>a</b>b,pers00344,oat77-w0100
aside | pride,"Laid now his Tyrant Rayes aside,",oat77-l02165,To Tryumph over Natures Pride. ,oat77-l02175,/aɪd/ | /aɪd/,full,a<b>b</b>a<b>b</b>,pers00344,oat77-w0100
went | descent,"When Laura to the Garden went,",oat77-l02170,"THE Sun far sunk in his Descent,",oat77-l02160,/ent/ | /ent/,full,<b>a</b>b<b>a</b>b,pers00344,oat77-w0100
pride | aside,To Tryumph over Natures Pride. ,oat77-l02175,"Laid now his Tyrant Rayes aside,",oat77-l02165,/aɪd/ | /aɪd/,full,a<b>b</b>a<b>b</b>,pers00344,oat77-w0100
die | spy,"The Rose-Buds blusht with deeper Dye,",oat77-l02180,The Violets droopt with Fear to spy,oat77-l02190,/aɪ/ | /aɪ/,full,<b>a</b>b<b>a</b>b,pers00344,oat77-w0100
grew | blew,The envying Lillies paler grew;,oat77-l02185,On Laura's Veins a richer Blew. ,oat77-l02195,/uː/ | /uː/,full,a<b>b</b>a<b>b</b>,pers00344,oat77-w0100
spy | die,The Violets droopt with Fear to spy,oat77-l02190,"The Rose-Buds blusht with deeper Dye,",oat77-l02180,/aɪ/ | /aɪ/,full,<b>a</b>b<b>a</b>b,pers00344,oat77-w0100
blew | grew,On Laura's Veins a richer Blew. ,oat77-l02195,The envying Lillies paler grew;,oat77-l02185,/uː/ | /uː/,full,a<b>b</b>a<b>b</b>,pers00344,oat77-w0100
went | sent,"She stoopt and gather'd as she went,",oat77-l02200,"As Angells tho for Ruin sent,",oat77-l02210,/ent/ | /ent/,full,<b>a</b>b<b>a</b>b,pers00344,oat77-w0100
smiled | mild,But whilst she slaughter'd sweetly Smil'd;,oat77-l02205,Appear with Looks Serene and Mild. ,oat77-l02215,/aɪld/ | /aɪld/,full,a<b>b</b>a<b>b</b>,pers00344,oat77-w0100
sent | went,"As Angells tho for Ruin sent,",oat77-l02210,"She stoopt and gather'd as she went,",oat77-l02200,/ent/ | /ent/,full,<b>a</b>b<b>a</b>b,pers00344,oat77-w0100
mild | smiled,Appear with Looks Serene and Mild. ,oat77-l02215,But whilst she slaughter'd sweetly Smil'd;,oat77-l02205,/aɪld/ | /aɪld/,full,a<b>b</b>a<b>b</b>,pers00344,oat77-w0100
toil | spoil,"But now grown weary with her Toyl,",oat77-l02220,"Thus with proud Trophies made o'th' Spoyl,",oat77-l02230,/ɔɪl/ | /ɔɪl/,full,<b>a</b>b<b>a</b>b,pers00344,oat77-w0100
frames | proclaims,She sits and flow'ry Wreaths she frames;,oat77-l02225,Her Conquest ore the Flow'rs proclaims.,oat77-l02235,/eɪmz/ | /eɪmz/,full,a<b>b</b>a<b>b</b>,pers00344,oat77-w0100
spoil | toil,"Thus with proud Trophies made o'th' Spoyl,",oat77-l02230,"But now grown weary with her Toyl,",oat77-l02220,/ɔɪl/ | /ɔɪl/,full,<b>a</b>b<b>a</b>b,pers00344,oat77-w0100
proclaims | frames,Her Conquest ore the Flow'rs proclaims.,oat77-l02235,She sits and flow'ry Wreaths she frames;,oat77-l02225,/eɪmz/ | /eɪmz/,full,a<b>b</b>a<b>b</b>,pers00344,oat77-w0100
seat | great,"GRant me indulgent Heav'n a rurall Seat,",oat77-l08745,Rather Contemptible than Great. ,oat77-l08750,/iːt/ | /eɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00344,oat77-w0590
great | seat,Rather Contemptible than Great. ,oat77-l08750,"GRant me indulgent Heav'n a rurall Seat,",oat77-l08745,/eɪt/ | /iːt/,half-pararhyme,<b>a</b><b>a</b>,pers00344,oat77-w0590
be | immortality,"Where, though I Tast Life's Sweets, still I may be",oat77-l08755,Athirst for Immortalitie. ,oat77-l08760,/iː/ | /ɪti/,half-pararhyme,<b>a</b><b>a</b>,pers00344,oat77-w0590
immortality | be,Athirst for Immortalitie. ,oat77-l08760,"Where, though I Tast Life's Sweets, still I may be",oat77-l08755,/ɪti/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00344,oat77-w0590
strife | life,"I wou'd have Business, but exempt from Strife;",oat77-l08765,"A Private, but an Active Life.",oat77-l08770,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00344,oat77-w0590
life | strife,"A Private, but an Active Life.",oat77-l08770,"I wou'd have Business, but exempt from Strife;",oat77-l08765,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00344,oat77-w0590
charge | large,A Conscience bold and punctuall to his Charge;,oat77-l08775,My Stock of Health or Patience Large.,oat77-l08780,/ɑːdʒ/ | /ɑːdʒ/,full,<b>a</b><b>a</b>,pers00344,oat77-w0590
large | charge,My Stock of Health or Patience Large.,oat77-l08780,A Conscience bold and punctuall to his Charge;,oat77-l08775,/ɑːdʒ/ | /ɑːdʒ/,full,<b>a</b><b>a</b>,pers00344,oat77-w0590
too | few,"Some Books I'd have, and some Acquaintance too,",oat77-l08785,"But very Good, and very Few. ",oat77-l08790,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00344,oat77-w0590
few | too,"But very Good, and very Few. ",oat77-l08790,"Some Books I'd have, and some Acquaintance too,",oat77-l08785,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00344,oat77-w0590
crave | grave,Then (if one Mortall Two such Grants may Crave),oat77-l08795,From Silent Life I'd Steal into my Grave.,oat77-l08800,/eɪv/ | /ɑːv/,half-pararhyme,<b>a</b><b>a</b>,pers00344,oat77-w0590
grave | crave,From Silent Life I'd Steal into my Grave.,oat77-l08800,Then (if one Mortall Two such Grants may Crave),oat77-l08795,/ɑːv/ | /eɪv/,half-pararhyme,<b>a</b><b>a</b>,pers00344,oat77-w0590
retreat | great,"FRom needless dangers timely to Retreat,",oat77-l06170,"Speaks not our Courage small, but Prudence Great.",oat77-l06175,/iːt/ | /eɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00344,oat77-w0350
great | retreat,"Speaks not our Courage small, but Prudence Great.",oat77-l06175,"FRom needless dangers timely to Retreat,",oat77-l06170,/eɪt/ | /iːt/,half-pararhyme,<b>a</b><b>a</b>,pers00344,oat77-w0350
fight | fight,"Thus Cato still was foremost in the Fight,",oat77-l06180,Whilst Vict'ry (tho at distance) was in fight;,oat77-l06185,/aɪt/ | /aɪt/,identical,<b>a</b><b>a</b>,pers00344,oat77-w0350
fight | fight,Whilst Vict'ry (tho at distance) was in fight;,oat77-l06185,"Thus Cato still was foremost in the Fight,",oat77-l06180,/aɪt/ | /aɪt/,identical,<b>a</b><b>a</b>,pers00344,oat77-w0350
wave | brave,"Yet oft the Unequal Battel he wou'd wave,",oat77-l06190,Wise in Retreat as in th'Engagement Brave.,oat77-l06195,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00344,oat77-w0350
brave | wave,Wise in Retreat as in th'Engagement Brave.,oat77-l06195,"Yet oft the Unequal Battel he wou'd wave,",oat77-l06190,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00344,oat77-w0350
make | stake,"Who of his Game, Advantage cannot make,",oat77-l06200,Is wise in plotting how to part the Stake.,oat77-l06205,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00344,oat77-w0350
stake | make,Is wise in plotting how to part the Stake.,oat77-l06205,"Who of his Game, Advantage cannot make,",oat77-l06200,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00344,oat77-w0350
dear | here,"Who pays his Blood for't, buys his Fame too dear",oat77-l06210,"I wou'd have Fame, but I'd enjoy it Here. ",oat77-l06215,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00344,oat77-w0350
here | dear,"I wou'd have Fame, but I'd enjoy it Here. ",oat77-l06215,"Who pays his Blood for't, buys his Fame too dear",oat77-l06210,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00344,oat77-w0350
wreathe | death,"Who mingles Cypress with his Lawrel Wreath,",oat77-l06220,"Is poor, and Debtor for his Fame to Death. ",oat77-l06225,/iːθ/ | /eθ/,half-pararhyme,<b>a</b><b>a</b>,pers00344,oat77-w0350
death | wreathe,"Is poor, and Debtor for his Fame to Death. ",oat77-l06225,"Who mingles Cypress with his Lawrel Wreath,",oat77-l06220,/eθ/ | /iːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00344,oat77-w0350
shade | laid,"BEneath the Syc'more shade,",oat77-l08035,His Amarill beside him laid:,oat77-l08050,/eɪd/ | /eɪd/,full,<b>a</b>bb<b>a</b>ccdddeefgfgfhiihjjkkj,pers00344,oat77-w0530
play | day,Amintas sat to sing and Play,oat77-l08040,On his shrill pipe i'th'Heat o'th Day;,oat77-l08045,/eɪ/ | /eɪ/,full,a<b>b</b><b>b</b>accdddeefgfgfhiihjjkkj,pers00344,oat77-w0530
day | play,On his shrill pipe i'th'Heat o'th Day;,oat77-l08045,Amintas sat to sing and Play,oat77-l08040,/eɪ/ | /eɪ/,full,a<b>b</b><b>b</b>accdddeefgfgfhiihjjkkj,pers00344,oat77-w0530
laid | shade,His Amarill beside him laid:,oat77-l08050,"BEneath the Syc'more shade,",oat77-l08035,/eɪd/ | /eɪd/,full,<b>a</b>bb<b>a</b>ccdddeefgfgfhiihjjkkj,pers00344,oat77-w0530
reed | feed,"Charm'd with the Musick of his Reed,",oat77-l08055,"The listning Ewes forgat to Feed,",oat77-l08060,/iːd/ | /iːd/,full,abba<b>c</b><b>c</b>dddeefgfgfhiihjjkkj,pers00344,oat77-w0530
feed | reed,"The listning Ewes forgat to Feed,",oat77-l08060,"Charm'd with the Musick of his Reed,",oat77-l08055,/iːd/ | /iːd/,full,abba<b>c</b><b>c</b>dddeefgfgfhiihjjkkj,pers00344,oat77-w0530
