r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
aloud | crowd,HUSH! let me search before I speak aloud —,o5089-l15025, Is no informer skulking in the croud! ,o5089-l15030,/aʊd/ | /aʊd/,full,<b>a</b><b>a</b>,pers00172,o5089-w0230
crowd | aloud, Is no informer skulking in the croud! ,o5089-l15030,HUSH! let me search before I speak aloud —,o5089-l15025,/aʊd/ | /aʊd/,full,<b>a</b><b>a</b>,pers00172,o5089-w0230
said | head,"With art laconic noting all that's said,",o5089-l15035," Malice at heart, indictments in his head,",o5089-l15040,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00172,o5089-w0230
head | said," Malice at heart, indictments in his head,",o5089-l15040,"With art laconic noting all that's said,",o5089-l15035,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00172,o5089-w0230
war | bar," Prepar'd to levy all the legal war,",o5089-l15045, And rouse the clamorous legions of the bar! ,o5089-l15050,/ɔː/ | /ɑː/,half-pararhyme,<b>a</b><b>a</b>,pers00172,o5089-w0230
bar | war, And rouse the clamorous legions of the bar! ,o5089-l15050," Prepar'd to levy all the legal war,",o5089-l15045,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00172,o5089-w0230
nous | true,"Is there none such? — not one? — then entre nous,",o5089-l15055," I will a tale unfold, tho' strange, yet true;",o5089-l15060,/aʊs/ | /uː/,half-pararhyme,<b>a</b><b>a</b>a,pers00172,o5089-w0230
nous | you,"Is there none such? — not one? — then entre nous,",o5089-l15055, The application must be made by you. ,o5089-l15065,/aʊs/ | /uː/,half-pararhyme,<b>a</b>a<b>a</b>,pers00172,o5089-w0230
true | nous," I will a tale unfold, tho' strange, yet true;",o5089-l15060,"Is there none such? — not one? — then entre nous,",o5089-l15055,/uː/ | /aʊs/,half-pararhyme,<b>a</b><b>a</b>a,pers00172,o5089-w0230
true | you," I will a tale unfold, tho' strange, yet true;",o5089-l15060, The application must be made by you. ,o5089-l15065,/uː/ | /uː/,full,a<b>a</b><b>a</b>,pers00172,o5089-w0230
you | nous, The application must be made by you. ,o5089-l15065,"Is there none such? — not one? — then entre nous,",o5089-l15055,/uː/ | /aʊs/,half-pararhyme,<b>a</b>a<b>a</b>,pers00172,o5089-w0230
you | true, The application must be made by you. ,o5089-l15065," I will a tale unfold, tho' strange, yet true;",o5089-l15060,/uː/ | /uː/,full,a<b>a</b><b>a</b>,pers00172,o5089-w0230
arts | parts,"At Athens once, fair queen of arms and arts,",o5089-l15070, There dwelt a citizen of moderate parts! ,o5089-l15075,/ɑːts/ | /ɑːts/,full,<b>a</b><b>a</b>,pers00172,o5089-w0230
parts | arts, There dwelt a citizen of moderate parts! ,o5089-l15075,"At Athens once, fair queen of arms and arts,",o5089-l15070,/ɑːts/ | /ɑːts/,full,<b>a</b><b>a</b>,pers00172,o5089-w0230
looks | books,"Precise his manner, and demure his looks,",o5089-l15080," His mind unletter'd, tho' he dealt in books;",o5089-l15085,/ʊks/ | /ʊks/,full,<b>a</b><b>a</b>,pers00172,o5089-w0230
books | looks," His mind unletter'd, tho' he dealt in books;",o5089-l15085,"Precise his manner, and demure his looks,",o5089-l15080,/ʊks/ | /ʊks/,full,<b>a</b><b>a</b>,pers00172,o5089-w0230
repartee | daintily," Amorous, tho' old; tho' dull, lov'd repartee;",o5089-l15090, And penn'd a paragraph most daintily:,o5089-l15095,/iː/ | /eɪntli/,half-pararhyme,<b>a</b><b>a</b>,pers00172,o5089-w0230
