r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
mind | wind,"AN open heart, a generous mind,",o5155-l35520,"But passion's slave, and wild as wind:",o5155-l35525,/aɪnd/ | /ɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00062,o5155-w0820
wind | mind,"But passion's slave, and wild as wind:",o5155-l35525,"AN open heart, a generous mind,",o5155-l35520,/ɪnd/ | /aɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00062,o5155-w0820
right | quite,"In theory, a judge of right;",o5155-l35530,Tho' banish'd from its practice quite:,o5155-l35535,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00062,o5155-w0820
quite | right,Tho' banish'd from its practice quite:,o5155-l35535,"In theory, a judge of right;",o5155-l35530,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00062,o5155-w0820
soul | tool,"So loose, so prostitute of soul,",o5155-l35540,His nobler wit becomes the tool,o5155-l35545,/əʊl/ | /uːl/,half-pararhyme,<b>a</b><b>a</b>a,pers00062,o5155-w0820
soul | fool,"So loose, so prostitute of soul,",o5155-l35540,Of every importuning fool:,o5155-l35550,/əʊl/ | /uːl/,half-pararhyme,<b>a</b>a<b>a</b>,pers00062,o5155-w0820
tool | soul,His nobler wit becomes the tool,o5155-l35545,"So loose, so prostitute of soul,",o5155-l35540,/uːl/ | /əʊl/,half-pararhyme,<b>a</b><b>a</b>a,pers00062,o5155-w0820
tool | fool,His nobler wit becomes the tool,o5155-l35545,Of every importuning fool:,o5155-l35550,/uːl/ | /uːl/,full,a<b>a</b><b>a</b>,pers00062,o5155-w0820
fool | soul,Of every importuning fool:,o5155-l35550,"So loose, so prostitute of soul,",o5155-l35540,/uːl/ | /əʊl/,half-pararhyme,<b>a</b>a<b>a</b>,pers00062,o5155-w0820
fool | tool,Of every importuning fool:,o5155-l35550,His nobler wit becomes the tool,o5155-l35545,/uːl/ | /uːl/,full,a<b>a</b><b>a</b>,pers00062,o5155-w0820
misapplied | tide,A thousand virtues misapply'd;,o5155-l35555,While reason floats on passion's tide:,o5155-l35560,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00062,o5155-w0820
tide | misapplied,While reason floats on passion's tide:,o5155-l35560,A thousand virtues misapply'd;,o5155-l35555,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00062,o5155-w0820
fair | snare,The ruin of the chaste and fair;,o5155-l35565,"The parent's curse, the virgin's snare:",o5155-l35570,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00062,o5155-w0820
snare | fair,"The parent's curse, the virgin's snare:",o5155-l35570,The ruin of the chaste and fair;,o5155-l35565,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00062,o5155-w0820
astray | gay,Whose false example leads astray,o5155-l35575,"The young, the thoughtless, and the gay:",o5155-l35580,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00062,o5155-w0820
gay | astray,"The young, the thoughtless, and the gay:",o5155-l35580,Whose false example leads astray,o5155-l35575,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00062,o5155-w0820
thought | fault,"Yet, left alone to cooler thought,",o5155-l35585,"He knows, he sees, he feels his fault;",o5155-l35590,/ɔːt/ | /ɔːlt/,half-vowelrhyme,<b>a</b><b>a</b>,pers00062,o5155-w0820
fault | thought,"He knows, he sees, he feels his fault;",o5155-l35590,"Yet, left alone to cooler thought,",o5155-l35585,/ɔːlt/ | /ɔːt/,half-vowelrhyme,<b>a</b><b>a</b>,pers00062,o5155-w0820
views | pursues,"He knows his fault, he feels, he views,",o5155-l35595,Detesting what he most pursues:,o5155-l35600,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00062,o5155-w0820
pursues | views,Detesting what he most pursues:,o5155-l35600,"He knows his fault, he feels, he views,",o5155-l35595,/uːz/ | /uːz/,full,<b>a</b><b>a</b>,pers00062,o5155-w0820
gains | pains,"His judgment tells him, all his gains",o5155-l35605,"For fleeting joys, are lasting pains:",o5155-l35610,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00062,o5155-w0820
pains | gains,"For fleeting joys, are lasting pains:",o5155-l35610,"His judgment tells him, all his gains",o5155-l35605,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00062,o5155-w0820
contending | offending,"Reason with appetite contending,",o5155-l35615,"Repenting still, and still offending:",o5155-l35620,/endɪŋ/ | /endɪŋ/,full,<b>a</b><b>a</b>,pers00062,o5155-w0820
offending | contending,"Repenting still, and still offending:",o5155-l35620,"Reason with appetite contending,",o5155-l35615,/endɪŋ/ | /endɪŋ/,full,<b>a</b><b>a</b>,pers00062,o5155-w0820
nature | creature,"Abuser of the gifts of nature,",o5155-l35625,"A wretched, self-condemning creature,",o5155-l35630,/eɪtʃə/ | /iːtʃə/,half-pararhyme,<b>a</b><b>a</b>,pers00062,o5155-w0820
creature | nature,"A wretched, self-condemning creature,",o5155-l35630,"Abuser of the gifts of nature,",o5155-l35625,/iːtʃə/ | /eɪtʃə/,half-pararhyme,<b>a</b><b>a</b>,pers00062,o5155-w0820
stage | age,He passes o'er life's ill-trod stage;,o5155-l35635,"And dies, in youth, the prey of age!",o5155-l35640,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00062,o5155-w0820
age | stage,"And dies, in youth, the prey of age!",o5155-l35640,He passes o'er life's ill-trod stage;,o5155-l35635,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00062,o5155-w0820
wise | despise,"The scorn, the pity of the wise,",o5155-l35645,"Who love, lament him — and despise!",o5155-l35650,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00062,o5155-w0820
despise | wise,"Who love, lament him — and despise!",o5155-l35650,"The scorn, the pity of the wise,",o5155-l35645,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00062,o5155-w0820
