r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
soft | oft,WHEN Sleep's all-soothing hand with fetters soft,o4984-l07945," The internal power, creative Fancy oft",o4984-l07955,/ɒft/ | /ɒft/,full,<b>a</b>b<b>a</b>bcdcdee,pers00050,o4984-w0090
rest | breast," Ties down each sense, and lulls to balmy rest;",o4984-l07950, Broods o'er her treasures in the formful breast. ,o4984-l07960,/est/ | /est/,full,a<b>b</b>a<b>b</b>cdcdee,pers00050,o4984-w0090
oft | soft," The internal power, creative Fancy oft",o4984-l07955,WHEN Sleep's all-soothing hand with fetters soft,o4984-l07945,/ɒft/ | /ɒft/,full,<b>a</b>b<b>a</b>bcdcdee,pers00050,o4984-w0090
breast | rest, Broods o'er her treasures in the formful breast. ,o4984-l07960," Ties down each sense, and lulls to balmy rest;",o4984-l07950,/est/ | /est/,full,a<b>b</b>a<b>b</b>cdcdee,pers00050,o4984-w0090
engage | sage,"Thus when no longer daily cares engage,",o4984-l07965," Hence angels whisper'd to the slumbering sage,",o4984-l07975,/eɪdʒ/ | /eɪdʒ/,full,abab<b>c</b>d<b>c</b>dee,pers00050,o4984-w0090
theme | dream, The busy mind pursues the darling theme;,o4984-l07970, And gods of old inspir'd the hero's dream;,o4984-l07980,/iːm/ | /iːm/,full,ababc<b>d</b>c<b>d</b>ee,pers00050,o4984-w0090
sage | engage," Hence angels whisper'd to the slumbering sage,",o4984-l07975,"Thus when no longer daily cares engage,",o4984-l07965,/eɪdʒ/ | /eɪdʒ/,full,abab<b>c</b>d<b>c</b>dee,pers00050,o4984-w0090
dream | theme, And gods of old inspir'd the hero's dream;,o4984-l07980, The busy mind pursues the darling theme;,o4984-l07970,/iːm/ | /iːm/,full,ababc<b>d</b>c<b>d</b>ee,pers00050,o4984-w0090
arose | compose," Hence as I slept, these images arose,",o4984-l07985," To Fancy's eye, and join'd this fairy scene compose. ",o4984-l07990,/əʊz/ | /əʊz/,full,ababcdcd<b>e</b><b>e</b>,pers00050,o4984-w0090
compose | arose," To Fancy's eye, and join'd this fairy scene compose. ",o4984-l07990," Hence as I slept, these images arose,",o4984-l07985,/əʊz/ | /əʊz/,full,ababcdcd<b>e</b><b>e</b>,pers00050,o4984-w0090
