Title	Language	Date_of_edition	ESTC_ID	VIAF_ID	Author_name	First_line	URL
[The Complaint: or, Night-Thoughts on Life, Death & Immortality.] Night I. On life, death, and immortality.	eng	1859		49252592	Young, Edward	Tired Nature's sweet restorer, balmy Sleep! 	http://www.eighteenthcenturypoetry.org/works/ayo19-w0010.shtml
[The Complaint: or, Night-Thoughts on Life, Death & Immortality.] Night II. On Time, Death, And Friendship.	eng	1859		49252592	Young, Edward	 "When the cock crew, he wept,"— smote by that eye,	http://www.eighteenthcenturypoetry.org/works/ayo19-w0020.shtml
[The Complaint: or, Night-Thoughts on Life, Death & Immortality.] Night III. Narcissa.	eng	1859		49252592	Young, Edward	From dreams, where Thought in Fancy's maze runs mad,	http://www.eighteenthcenturypoetry.org/works/ayo19-w0030.shtml
[The Complaint: or, Night-Thoughts on Life, Death & Immortality.] Night IV. The Christian Triumph.	eng	1859		49252592	Young, Edward	A much-indebted Muse, O Yorke! intrudes. 	http://www.eighteenthcenturypoetry.org/works/ayo19-w0040.shtml
[The Complaint: or, Night-Thoughts on Life, Death & Immortality.] Night V. The Relapse.	eng	1859		49252592	Young, Edward	Lorenzo! to recriminate is just. 	http://www.eighteenthcenturypoetry.org/works/ayo19-w0050.shtml
[The Complaint: or, Night-Thoughts on Life, Death & Immortality.] Night VI. The Infidel Reclaimed. In two Parts.	eng	1859		49252592	Young, Edward	She (for I know not yet her name in heaven)	http://www.eighteenthcenturypoetry.org/works/ayo19-w0060.shtml
[The Complaint: or, Night-Thoughts on Life, Death & Immortality.] Night VII. Being the second part of The Infidel Reclaimed: Containing the nature, proof, and importance of immortality.	eng	1859		49252592	Young, Edward	Heaven gives the needful, but neglected, call. 	http://www.eighteenthcenturypoetry.org/works/ayo19-w0070.shtml
[The Complaint: or, Night-Thoughts on Life, Death & Immortality.] Night VIII. Virtue's Apology; or, The Man of the World Answered.	eng	1859		49252592	Young, Edward	And has all Nature, then, espoused my part? 	http://www.eighteenthcenturypoetry.org/works/ayo19-w0080.shtml
[The Complaint: or, Night-Thoughts on Life, Death & Immortality.] Night IX. The Consolation.	eng	1859		49252592	Young, Edward	As when a traveller, a long day pass'd	http://www.eighteenthcenturypoetry.org/works/ayo19-w0090.shtml
NOVEMBER, 1784.	eng	1802		120740243	Hunter, Anne	NOW yellow autumn's leafy ruins lie	http://www.eighteenthcenturypoetry.org/works/bah18-w0010.shtml
ODE TO THE OLD YEAR, 1787.	eng	1802		120740243	Hunter, Anne	LET courtly bards, in courtly lay,	http://www.eighteenthcenturypoetry.org/works/bah18-w0020.shtml
LA DOUCE CHIMERE.	eng	1802		120740243	Hunter, Anne	SWEET Fancy, let me sing thy praise,	http://www.eighteenthcenturypoetry.org/works/bah18-w0030.shtml
ADDRESSED TO MRS. G. OF THE PRIORY, CORNWALL.	eng	1802		120740243	Hunter, Anne	WHEN the awaken'd soul receives	http://www.eighteenthcenturypoetry.org/works/bah18-w0040.shtml
ODE TO CONDUIT VALE, BLACKHEATH.	eng	1802		120740243	Hunter, Anne	DEAR tranquil shades, where freedom reigns,	http://www.eighteenthcenturypoetry.org/works/bah18-w0050.shtml
TO Mrs. DELAINY, UPON THE MARKS OF ROYAL BOUNTY WHICH SHE RECEIVED AT A VERY ADVANCED AGE, AFTER THE DEATH OF HER FRIEND THE DUCHESS OF PORTLAND, IN 1786.	eng	1802		120740243	Hunter, Anne	DELAINY, far from courtly art,	http://www.eighteenthcenturypoetry.org/works/bah18-w0060.shtml
TO THE MEMORY OF THOMAS CHATTERTON.	eng	1802		120740243	Hunter, Anne	ILL-fated youth! thy ardent soul	http://www.eighteenthcenturypoetry.org/works/bah18-w0070.shtml
[BIRTHDAY ODE] TO MY SON AT SCHOOL, AGED 13, JUNE 11.	eng	1802		120740243	Hunter, Anne	OF thee, dear boy, the muse shall sing,	http://www.eighteenthcenturypoetry.org/works/bah18-w0080.shtml
