author_display,title,id,author_id
"Henley, Samuel",THE SHAFT. ,o4986-w0060,pers00231
"Harington, Henry",TO A LOVER. ,o4987-w0680,pers00229
"Graves, Richard",The PARTING. Written some Years after Marriage.,o5155-w0880,pers00142
"Harington, Henry",THE HERMITE's ADDRESSE TO YOUTHE. WRITTEN IN THE SPRING-GARDEN AT BATH.,o4987-w0690,pers00229
"Dennis, John",The MONUMENT: A POEM Sacred to the IMMORTAL MEMORY OF William the Third.,o5195-w0010,pers00341
"Henley, Samuel",IRIS TO PHILUS. ,o4986-w0070,pers00231
"Shenstone, William",ODE to MEMORY. 1748.,o5155-w0890,pers00035
"Williams, Helen Maria",SONG. ,bhw18-w0120,pers00276
"Williams, Helen Maria",SONG. ,bhw18-w0130,pers00276
"Watts, Isaac","AN EPITAPH ON King WILLIAM III. Of Glorious Memory, Who Died March 8th. 1701. ",o4672-w0700,pers00292
"Finch, Anne, countess of Winchilsea",ALCIDOR. ,o4784-w0470,pers00268
"Shenstone, William","UPON A VISIT to the same in Winter, 1748. ",o5156-w0070,pers00035
"Frederick II, King of Prussia / Cooper, John Gilbert","[An EPISTLE from the King of PRUSSIA, to Monsieur VOLTAIRE.] Translated into English.",o5157-w0690,"pers00097,pers00054"
"Robinson, Mary",To MATILDA. ,pro75-w0310,pers00271
"Hylton, John Scott",True RESIGNATION. ,o5157-w0680,pers00109
"Robinson, Mary",The VISION. ,pro75-w0300,pers00271
"Finch, Anne, countess of Winchilsea",A Pastoral DIALOGUE between Two Shepherdesses. ,o4784-w0460,pers00268
"Shenstone, William","To a LADY of QUALITY, Fitting up her LIBRARY, 1738.",o5156-w0060,pers00035
"Barber, Mary",A True TALE. ,pba35-w0050,pers00087
"Cowper, William","THE POET, THE OYSTER, AND SENSITIVE PLANT. ",o3794-w0420,pers00269
"Smith, Charlotte",SONNET [28] XXVIII. To Friendship. ,n22cs-w0280,pers00290
"Jones, Mary",MATRIMONY. ,pjo50-w0080,pers00273
"Barber, Mary","Written in the Conclusion of a Letter to Mr. Tickel, intreating him to recommend the Widow Gordon's Petition. ",pba35-w0040,pers00087
"Jones, Mary","To Mrs. CLAYTON, With a HARE. ",pjo50-w0090,pers00273
"Smith, Charlotte",SONNET [29] XXIX. To Miss C****. On being desired to attempt writing a Comedy. ,n22cs-w0290,pers00290
"Cowper, William",To the Rev. WILLIAM CAWTHORNE UNWIN. ,o3794-w0430,pers00269
"Hoadly, John","EPILOGUE to SHAKESPEAR'S first Part of King HENRY IV. ACTED BY Young GENTLEMEN at Mr. NEWCOME'S School at HACKNEY, 1748;",o5156-w0950,pers00108
"Blamire, Susanna",THE RECALL TO AFFECTION. ,bsb18-w0050,pers00280
"Leapor, Mary",PROSERPINE'S RAGOUT. ,o5125-w0580,pers00154
"Blamire, Susanna",THE FAREWELL TO AFFECTION. ,bsb18-w0040,pers00280
"Hoadly, John",CHLOE resolved. A BALLAD.,o5156-w0940,pers00108
"Leapor, Mary",The CHARMS of ANTHONY. ,o5125-w0590,pers00154
"Wesley, John",A Morning Dedication of ourselves to CHRIST. From the German.,o3900-w1120,pers00310
"Ward, William",To Mrs. Ward. ,pba35-w0970,pers00262
"Burns, Robert","THE TWA DOGS, A TALE.",cbu86-w0010,pers00307
"Wesley, John",CHRIST protecting and sanctifying. From the same.,o3900-w1130,pers00310
"Ward, William","To the Right Honourable the Earl of Orrery in Dublin: Upon receiving an Account from Mrs. Barber, of his Lordship's great Generosity to her. ",pba35-w0960,pers00262
"Hands, Elizabeth",A PASTORAL SONG. ,peh89-w0140,pers00324
"Gray, Thomas",ODE. ,o5153-w0570,pers00039
"Shenstone, William","In a shady Valley, near a running Water. ",o5155-w0941,pers00035
"Lansdowne, Baron, George Granville","VERSES written on a Blank Leaf, ",o5152-w0390,pers00100
"Carstairs, Christian",To a Brother of the Author's. ,pcc86-w0160,pers00323
"Day, Eliza","TO THE MEMORY OF A LADY, Whom the Author much esteemed when very young.",bed98-w0350,pers00340
"Collins, William",ODE to EVENING. ,o5152-w0380,pers00048
"Hands, Elizabeth",The FAVOURITE SWAIN. ,peh89-w0150,pers00324
"Gray, Thomas",An ODE On a distant Prospect of ETON COLLEGE. ,o5153-w0560,pers00039
"Carstairs, Christian",The three following beautiful Stanzas by Miss A. H. to the Author. ,pcc86-w0170,pers00323
"Day, Eliza",ON THE DEATH OF MRS. ANNE GILLISON. ,bed98-w0340,pers00340
"Gray, Thomas",Ode on the Spring ,tgaen-woots,pers00039
"Wesley, Charles",The MAGNIFICAT. ,o3900-w0880,pers00309
"Tate, Nahum",The Confinement. ,oat77-w0410,pers00344
"Prior, Matthew",ADRIANI MORIENTIS ad Animam Suam. IMITATED.,pmp18-w0520,pers00314
"Smart, Christopher",THE JUDGMENT OF MIDAS. A MASQUE.,o4103-w0360,pers00254
"Pitt, Henry",PSALM XLVI. ,o3900-w0890,pers00312
"Prior, Matthew",A Passage in the MORIÆ ENCOMIUM of Erasmus Imitated. ,pmp18-w0530,pers00314
"Tate, Nahum",[Martial] Lib. XI. Epigr. XLIII. ,oat77-w0400,pers00344
